x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
x_in = 100; y_out = 100; sum = 3000
